pmc	coderA	A_quote	A_where	coderB	B_quote	B_where	adjudicated	reason
PMC11284051	M	FCRL3 | Inverse variance weighted | 6. || Among various MR methodologies employed, one drug target for MS (FCRL3) was identified.	Supplementary Table 3, row 57; Results	X	When only one eQTL was available for a given gene, we employed the Wald ratio method for MR analysis. In cases where two or more genetic instruments were available, we applied the inverse variance weighted MR (MR-IVW) approach to combine the causal estimates from multiple IVs.	Methods, Single-cell eQTL analysis (section 2.4); Results 3.2: '97 genes ... employing methodologies such as Inverse Variance Weighted and Wald Ratio (Supplementary Table 3)'		
PMC11310057	M	Table S3: Effect estimates of potential targets regarding baicalin for T2D in the validation cohort. ANPEP, BECN1, HNF1A, PGF, RXRA, SREBF1, ST6GAL1, and USP7 use inverse variance weighted estimates with 30, 7, 2, 2, 2, 4, 23, and 2 SNPs, respectively.	Supplementary Table S3	X	In the primary analysis, if only one eQTL for the drug target was available, we employed the Wald method that calculated the coefficient ratio for the outcomes and exposures. When two or more instrumental variables were available, the meta-analysis integrated with the Wald ratio on each SNP was performed using inverse-variance weighted (IVW), MR-Egger, weighted median, and maximum likelihood methods.	Methods, 'Instrumental variables' section; Results: 'Applying the Wald ratio or IVW method with a multiplicative random effects model, a total of 35 baicalin targets remained significantly (p < 1.00e-4) associated with T2D risk'		
PMC11914663	M	If multiple SNPs were available to construct instrumental variables, the inverse variance weighting (IVW) method was used as the primary analysis method. || Table 1 reports 7 SNPs for the nominated HMGCR estimate, and all primary target rows contain 3–24 SNPs.	Methods, statistical analysis; Table 1	W	SMR analysis integrated eQTL and GWAS summary statistics, calculating causal effect estimates through the Wald ratio method.	Statistical analysis section (SMR methods paragraph for HMGCR/NPC1L1 cis-eQTL validation)		
PMC11927037	M	The TSMR effect based on the inverse variance weighted (IVW) with multiplicative random effects was considered the primary outcome. || Further TSMR validation filtered 72 cis-eQTL genes causally associated with sepsis.	Methods, TSMR analysis; Results	X	The SMR analysis identified 677 cis-eQTL genes associated with sepsis. Further TSMR validation filtered 72 cis-eQTL genes causally associated with sepsis.	Abstract, Results; Methods: 'The TSMR effect based on the inverse variance weighted (IVW) with multiplicative random effects was considered the primary outcome'		
PMC12150496	U			W	In the SMR analysis of eQTLs, two positive genes were identified after FDR correction (PRIM1, P adjust = 0.0069, P HEIDI = 0.0977; BMP8A, P adjust = 0.0357, P HEIDI = 0.9352).	Results, eQTL SMR analysis; Methods: 'These analyses did not require pleiotropy and heterogeneity assessments or bias checks, as in most cases, the effective IV consisted of a single top SNP.'		
PMC12958419	M	Table S4. Two-sample MR estimates for the association between candidate genes and neuroblastoma using different MR methods. Each of the eight named adrenal genes has a multi-instrument estimate; examples include BTNL2, 174 SNPs; DNAJC9, 327; ZNF559, 20; FAM182B, 430; and CPNE1, 826.	Supplementary Table S4	W	Second, all genes had only one cis-acting SNP and lacked trans-eQTLs, limiting the application of analyses, including alternative MR algorithms, heterogeneity tests, and pleiotropy tests.	Discussion, limitations paragraph; also Methods: 'Single-SNP exposures were estimated using the Wald ratio and evaluated via colocalization (PPH4), HEIDI in the SMR framework, and Steiger directionality.'		
PMC12998140	M	We utilized five MR estimation techniques to evaluate the causal relationship between FNDC5 gene expression and OS risk; the Wald ratio approach was applied when only one SNP was available for inference. || Leave-one-out analysis revealed that excluding any single SNP resulted in only minor changes in the overall error range of the estimated results.	Methods, Mendelian randomization; Supplementary Figure S3	W	We used Bayesian co-localization, HEIDI heterogeneity testing, and summary-data-based Mendelian randomization (SMR) to further integrate expression quantitative trait locus (eQTL) data with genome-wide association study (GWAS) data from eQTLGen and IEU Consortium in order to genetically validate the causal relationship between FNDC5 and OS.	Abstract, Methods (first paragraph of genetic analysis)		
PMC13138598	X	When multiple SNPs were analyzed, we primarily utilized the inverse variance weighted (IVW) method to derive a consolidated causal estimate. || This analysis could not be performed for NR1I3, as only one SNP was available as an IV.	Methods, Mendelian randomization and leave-one-out analysis	M	Ultimately, 1,280 eQTLs associated with 50 thyroid cancer-related genes were identified for subsequent MR analysis (Supplementary Table 3).	Results, 'Identification of common candidate genes'; Results: 'After conducting robustness analyses, we identified 10 potential genes that exhibited a significant causal relationship with thyroid cancer' with Cochran's Q / MR-Egger / MR-PRESSO across the 10 genes		
PMC13147455	W	Table S7: Tissue-Specific Expression Results of Corresponding Genes for High-Confidence Proteins. CCN3, FES, NMI, and NMT1 are each reported as Wald ratio with nsnp = 1 in the nominated tissues.	Supplementary Table S7	X	For the primary MR analysis, the inverse variance weighted (IVW) method was employed for proteins with multiple IVs, while the Wald ratio method was applied for proteins with a single IV.	Methods, 'Multiple analytical methods and sensitivity analyses' (primary MR analysis rule, applied to both the proteome-wide pQTL screen and the cis-eQTL validation analyses)		
PMC13166711	X	RNF43, CDK6, F2, PAPLN, and brain PTK2 are reported as Wald ratio with nsnp = 1, whereas blood PTK2 is reported as Inverse variance weighted with nsnp = 3.	Supplementary Tables S7 and S8	U	The two-sample MR analysis was performed using the inverse-variance weighted method or the Wald ratio method when only 1 SNP was available as an IV, which was chosen as the primary approach to assess the causality between exposure and outcome.	Methods, section 2.5 (instrument construction and MR analysis)		
PMC13225775	M	Table S7. Druggable genes associated with IBS when SNPs meet FDR<0.05 criteria within ±100kb of TSS. The eight nominated rows use Inverse variance weighted estimates with No.SNP values from 5 to 32 (for example, EP300 = 7 and P2RY14 = 5).	Supplementary Table S7	U	In the primary analysis, for genes with a single valid instrumental variable, the causal effect was estimated using the Wald ratio method... For genes with multiple independent instrumental variables, the inverse-variance weighted (IVW) method was used as the primary approach to estimate the overall causal effect	Methods (primary MR analysis description)		
PMC13247016	W	Excitatory_control_CYP4V2 | Wald ratio | nsnp 1; Astrocytes_control_ANXA11 | Wald ratio | nsnp 1.	Supplementary Table S3	X	For genes with a single SNP instrument, causal effects were estimated using the Wald ratio. For genes with multiple instruments, inverse variance weighting (IVW) was applied. ... Most eGenes were represented by a single SNP, ensuring the exclusion of weak instruments, while a smaller subset was supported by multiple independent SNPs.	Methods, 'Mendelian randomization' section; Results (instrument categorisation)		
PMC13448146	W	SMR analysis was then performed using the top associated cis-QTLs with genome-wide significance as instrumental variables. || SMR primarily relies on a single top cis-SNP, which differs from conventional multi-SNP MR approaches.	Methods, SMR analysis; Results/Discussion	M	Associations meeting nominal significance thresholds (P-SMR_multi < 0.05 and P-SMR < 0.05) and P-HEIDI > 0.01 underwent colocalization analysis...	Methods, SMR Analysis section (SMR-multi criteria); eQTL results: Table 3 and abstract ('SMR analysis identified ... 30 eQTLs ... associated with TN')		
